Car Name,Transmission,Mileage,Price,Location
2017/2021 Mercedes-Benz E43 AMG 3.0 4MATIC Sedan - FULL SE...,Automatic,65 - 70K KM,"RM 196,999","Kuala Lumpur, Sungai Besi"
2021 BMW X1 2.0 sDrive20i M Sport SUV - FULL SERVICE RECOR...,Automatic,30 - 35K KM,"RM 129,999","Kuala Lumpur, Sungai Besi"
2023 Toyota Alphard 2.5 Z MPV,Automatic,5 - 10K KM,"RM 365,000","Johor, Johor Bahru"
2018 Kia Optima JF 2.0 GT Sedan - 5 YRS WARRANTY,Automatic,85 - 90K KM,"RM 76,800","Kuala Lumpur, Salak Selatan"
2023 Toyota Prius 2.0 HEV Z Hatchback,Automatic,5 - 10K KM,"-7% RM 205,000",Putrajaya
2020 Porsche 718 2.0 Boxster Convertible - cayman,Automatic,25 - 30K KM,"RM 330,000",Putrajaya
2022 Toyota Voxy 2.0 Kirameki MPV - hybrid SZ 3504,Automatic,10 - 15K KM,"RM 213,000","Kuala Lumpur, Sungai Besi"
2023 Lexus RX500h 2.4 F Sport SUV,Automatic,0 - 5K KM,"RM 419,000","Selangor, Balakong"
2021 Toyota Alphard 2.5 G S MPV - S 8 SEATER DIM BSM PRE C...,Automatic,50 - 55K KM,"RM 178,000","Kuala Lumpur, Cheras"
2020 MINI 3 Door 1.5 Cooper Hatchback,Automatic,35 - 40K KM,"RM 126,000","Kuala Lumpur, Chan Sow Lin"
2020 Perodua Myvi 1.5 AV Hatchback - (LOW MILEAGE),Automatic,35 - 40K KM,"RM 40,800","Selangor, Batu Caves"
2017 BMW 330e 2.0 M Sport Sedan,Automatic,85 - 90K KM,"RM 55,800","Kuala Lumpur, Cheras"
2023 Toyota Alphard 2.5 Z MPV - 7K MILEAGE MODELLISTA SUNR...,Automatic,5 - 10K KM,"RM 351,000","Kuala Lumpur, Sungai Besi"
2018 Ford MUSTANG 2.3 EcoBoost Coupe - cc (A) REG OCT 2021...,Automatic,20 - 25K KM,"RM 166,800","Kuala Lumpur, Cheras"
2021 Toyota GR Yaris 1.6 Performance Pack Hatchback - (M) ...,Manual,30 - 35K KM,"RM 198,000","Kuala Lumpur, Seputeh"
2015 Nissan Almera 1.5 VL Sedan - NISMO BODYKIT,Automatic,90 - 95K KM,"RM 22,800","Kuala Lumpur, Cheras"
2014 Ford Ranger 2.2 XLT Dual Cab Pickup Truck,Manual,90 - 95K KM,"RM 36,800","Kuala Lumpur, Cheras"
2022 Mercedes-Benz CLA250 2.0 4MATIC AMG Line Coupe - 4 MA...,Automatic,10 - 15K KM,"RM 263,000","Kuala Lumpur, Jalan Ipoh"
2023 Toyota Alphard 2.5 Z MPV - SUNROOF 360 CAMERA BLACK I...,Automatic,0 - 5K KM,"RM 359,888","Kuala Lumpur, Old Klang Road"
2017 Honda Civic 1.8 S i-VTEC Sedan - 1 OWNER,Automatic,80 - 85K KM,"RM 57,800","Kuala Lumpur, Cheras"
2022 Honda Civic 1.8 S i-VTEC Sedan - TYPE R HIGH SPEC FSR...,Automatic,45 - 50K KM,"RM 89,888","Selangor, Bandar Baru Bangi"
2022 Honda Civic 1.8 S i-VTEC Sedan - TYPE R HIGH SPEC FSR...,Automatic,45 - 50K KM,"RM 89,888","Kuala Lumpur, Cheras"
2014 Honda CR-V 2.4 i-VTEC SUV - FACELIFT HI SPEC,Automatic,80 - 85K KM,"RM 39,800","Kuala Lumpur, Cheras"
2022 Toyota Corolla Cross 1.8 Hybrid SUV,Automatic,50 - 55K KM,"RM 98,800","Johor, Skudai"
2022 Proton X50 1.5 Executive SUV,Automatic,45 - 50K KM,"RM 68,800","Johor, Skudai"
2017/2021 Mercedes-Benz E43 AMG 3.0 4MATIC Sedan - FULL SE...,Automatic,65 - 70K KM,"RM 196,999","Kuala Lumpur, Sungai Besi"
2021 BMW X1 2.0 sDrive20i M Sport SUV - FULL SERVICE RECOR...,Automatic,30 - 35K KM,"RM 129,999","Kuala Lumpur, Sungai Besi"
2023 Toyota Alphard 2.5 Z MPV,Automatic,5 - 10K KM,"RM 365,000","Johor, Johor Bahru"
2018 Kia Optima JF 2.0 GT Sedan - 5 YRS WARRANTY,Automatic,85 - 90K KM,"RM 76,800","Kuala Lumpur, Salak Selatan"
2023 Toyota Prius 2.0 HEV Z Hatchback,Automatic,5 - 10K KM,"-7% RM 205,000",Putrajaya
2020 Porsche 718 2.0 Boxster Convertible - cayman,Automatic,25 - 30K KM,"RM 330,000",Putrajaya
2022 Toyota Voxy 2.0 Kirameki MPV - hybrid SZ 3504,Automatic,10 - 15K KM,"RM 213,000","Kuala Lumpur, Sungai Besi"
2023 Lexus RX500h 2.4 F Sport SUV,Automatic,0 - 5K KM,"RM 419,000","Selangor, Balakong"
2021 Toyota Alphard 2.5 G S MPV - S 8 SEATER DIM BSM PRE C...,Automatic,50 - 55K KM,"RM 178,000","Kuala Lumpur, Cheras"
2020 MINI 3 Door 1.5 Cooper Hatchback,Automatic,35 - 40K KM,"RM 126,000","Kuala Lumpur, Chan Sow Lin"
2020 Perodua Myvi 1.5 AV Hatchback - (LOW MILEAGE),Automatic,35 - 40K KM,"RM 40,800","Selangor, Batu Caves"
2017 BMW 330e 2.0 M Sport Sedan,Automatic,85 - 90K KM,"RM 55,800","Kuala Lumpur, Cheras"
2023 Toyota Alphard 2.5 Z MPV - 7K MILEAGE MODELLISTA SUNR...,Automatic,5 - 10K KM,"RM 351,000","Kuala Lumpur, Sungai Besi"
2018 Ford MUSTANG 2.3 EcoBoost Coupe - cc (A) REG OCT 2021...,Automatic,20 - 25K KM,"RM 166,800","Kuala Lumpur, Cheras"
2021 Toyota GR Yaris 1.6 Performance Pack Hatchback - (M) ...,Manual,30 - 35K KM,"RM 198,000","Kuala Lumpur, Seputeh"
2015 Nissan Almera 1.5 VL Sedan - NISMO BODYKIT,Automatic,90 - 95K KM,"RM 22,800","Kuala Lumpur, Cheras"
2014 Ford Ranger 2.2 XLT Dual Cab Pickup Truck,Manual,90 - 95K KM,"RM 36,800","Kuala Lumpur, Cheras"
2022 Mercedes-Benz CLA250 2.0 4MATIC AMG Line Coupe - 4 MA...,Automatic,10 - 15K KM,"RM 263,000","Kuala Lumpur, Jalan Ipoh"
2023 Toyota Alphard 2.5 Z MPV - SUNROOF 360 CAMERA BLACK I...,Automatic,0 - 5K KM,"RM 359,888","Kuala Lumpur, Old Klang Road"
2017 Honda Civic 1.8 S i-VTEC Sedan - 1 OWNER,Automatic,80 - 85K KM,"RM 57,800","Kuala Lumpur, Cheras"
2022 Honda Civic 1.8 S i-VTEC Sedan - TYPE R HIGH SPEC FSR...,Automatic,45 - 50K KM,"RM 89,888","Selangor, Bandar Baru Bangi"
2022 Honda Civic 1.8 S i-VTEC Sedan - TYPE R HIGH SPEC FSR...,Automatic,45 - 50K KM,"RM 89,888","Kuala Lumpur, Cheras"
2014 Honda CR-V 2.4 i-VTEC SUV - FACELIFT HI SPEC,Automatic,80 - 85K KM,"RM 39,800","Kuala Lumpur, Cheras"
2022 Toyota Corolla Cross 1.8 Hybrid SUV,Automatic,50 - 55K KM,"RM 98,800","Johor, Skudai"
2022 Proton X50 1.5 Executive SUV,Automatic,45 - 50K KM,"RM 68,800","Johor, Skudai"
2017/2021 Mercedes-Benz E43 AMG 3.0 4MATIC Sedan - FULL SE...,Automatic,65 - 70K KM,"RM 196,999","Kuala Lumpur, Sungai Besi"
2021 BMW X1 2.0 sDrive20i M Sport SUV - FULL SERVICE RECOR...,Automatic,30 - 35K KM,"RM 129,999","Kuala Lumpur, Sungai Besi"
2023 Toyota Alphard 2.5 Z MPV,Automatic,5 - 10K KM,"RM 365,000","Johor, Johor Bahru"
2018 Kia Optima JF 2.0 GT Sedan - 5 YRS WARRANTY,Automatic,85 - 90K KM,"RM 76,800","Kuala Lumpur, Salak Selatan"
2023 Toyota Prius 2.0 HEV Z Hatchback,Automatic,5 - 10K KM,"-7% RM 205,000",Putrajaya
2020 Porsche 718 2.0 Boxster Convertible - cayman,Automatic,25 - 30K KM,"RM 330,000",Putrajaya
2022 Toyota Voxy 2.0 Kirameki MPV - hybrid SZ 3504,Automatic,10 - 15K KM,"RM 213,000","Kuala Lumpur, Sungai Besi"
2023 Lexus RX500h 2.4 F Sport SUV,Automatic,0 - 5K KM,"RM 419,000","Selangor, Balakong"
2021 Toyota Alphard 2.5 G S MPV - S 8 SEATER DIM BSM PRE C...,Automatic,50 - 55K KM,"RM 178,000","Kuala Lumpur, Cheras"
2020 MINI 3 Door 1.5 Cooper Hatchback,Automatic,35 - 40K KM,"RM 126,000","Kuala Lumpur, Chan Sow Lin"
2020 Perodua Myvi 1.5 AV Hatchback - (LOW MILEAGE),Automatic,35 - 40K KM,"RM 40,800","Selangor, Batu Caves"
2017 BMW 330e 2.0 M Sport Sedan,Automatic,85 - 90K KM,"RM 55,800","Kuala Lumpur, Cheras"
2023 Toyota Alphard 2.5 Z MPV - 7K MILEAGE MODELLISTA SUNR...,Automatic,5 - 10K KM,"RM 351,000","Kuala Lumpur, Sungai Besi"
2018 Ford MUSTANG 2.3 EcoBoost Coupe - cc (A) REG OCT 2021...,Automatic,20 - 25K KM,"RM 166,800","Kuala Lumpur, Cheras"
2021 Toyota GR Yaris 1.6 Performance Pack Hatchback - (M) ...,Manual,30 - 35K KM,"RM 198,000","Kuala Lumpur, Seputeh"
2015 Nissan Almera 1.5 VL Sedan - NISMO BODYKIT,Automatic,90 - 95K KM,"RM 22,800","Kuala Lumpur, Cheras"
2014 Ford Ranger 2.2 XLT Dual Cab Pickup Truck,Manual,90 - 95K KM,"RM 36,800","Kuala Lumpur, Cheras"
2022 Mercedes-Benz CLA250 2.0 4MATIC AMG Line Coupe - 4 MA...,Automatic,10 - 15K KM,"RM 263,000","Kuala Lumpur, Jalan Ipoh"
2023 Toyota Alphard 2.5 Z MPV - SUNROOF 360 CAMERA BLACK I...,Automatic,0 - 5K KM,"RM 359,888","Kuala Lumpur, Old Klang Road"
2017 Honda Civic 1.8 S i-VTEC Sedan - 1 OWNER,Automatic,80 - 85K KM,"RM 57,800","Kuala Lumpur, Cheras"
2022 Honda Civic 1.8 S i-VTEC Sedan - TYPE R HIGH SPEC FSR...,Automatic,45 - 50K KM,"RM 89,888","Selangor, Bandar Baru Bangi"
2022 Honda Civic 1.8 S i-VTEC Sedan - TYPE R HIGH SPEC FSR...,Automatic,45 - 50K KM,"RM 89,888","Kuala Lumpur, Cheras"
2014 Honda CR-V 2.4 i-VTEC SUV - FACELIFT HI SPEC,Automatic,80 - 85K KM,"RM 39,800","Kuala Lumpur, Cheras"
2022 Toyota Corolla Cross 1.8 Hybrid SUV,Automatic,50 - 55K KM,"RM 98,800","Johor, Skudai"
2022 Proton X50 1.5 Executive SUV,Automatic,45 - 50K KM,"RM 68,800","Johor, Skudai"
2017/2021 Mercedes-Benz E43 AMG 3.0 4MATIC Sedan - FULL SE...,Automatic,65 - 70K KM,"RM 196,999","Kuala Lumpur, Sungai Besi"
2021 BMW X1 2.0 sDrive20i M Sport SUV - FULL SERVICE RECOR...,Automatic,30 - 35K KM,"RM 129,999","Kuala Lumpur, Sungai Besi"
2023 Toyota Alphard 2.5 Z MPV,Automatic,5 - 10K KM,"RM 365,000","Johor, Johor Bahru"
2018 Kia Optima JF 2.0 GT Sedan - 5 YRS WARRANTY,Automatic,85 - 90K KM,"RM 76,800","Kuala Lumpur, Salak Selatan"
2023 Toyota Prius 2.0 HEV Z Hatchback,Automatic,5 - 10K KM,"-7% RM 205,000",Putrajaya
2020 Porsche 718 2.0 Boxster Convertible - cayman,Automatic,25 - 30K KM,"RM 330,000",Putrajaya
